team,x,y,fgmade
Team A,-5,26.4,0
Team A,-0.8,1.2,1
Team A,-13.9,9.5,1
Team A,-5.4,26.2,0
Team A,-4.9,14.5,1
Team A,-10.9,23.9,1
Team A,-12,23.6,1
Team A,-7.3,5.7,0
Team A,-2.8,11,1
Team A,1.4,1.6,0
Team A,-0.3,2.3,0
Team A,1.8,1.9,0
Team A,17.4,1.8,0
Team A,0.6,15.9,0
Team A,6.3,5.9,1
Team A,0.5,4.1,1
Team A,0.2,2.1,1
Team A,-8.2,24.8,0
Team A,0.6,25.6,1
Team A,0.6,6,0
Team A,9.3,15.9,0
Team A,16.8,18.4,0
Team A,-2.9,5.9,1
Team A,15.3,9.3,1
Team A,14.3,15.7,1
Team A,10.9,23.9,1
Team A,13.9,14,0
Team A,15.1,0.4,1
Team A,14.9,11.9,0
Team A,0.8,0.7,1
Team A,-2.2,11.5,0
Team A,4.7,12.7,0
Team A,23.1,-1.2,0
Team A,17,5.2,1
Team A,12.5,21.9,0
Team A,13.1,22.8,1
Team A,-22.3,-0.8,1
Team A,-1.2,1.1,1
Team A,-23.9,7.8,1
Team A,0.2,3.1,1
Team A,-12.5,5.8,0
Team A,-0.2,0.5,1
Team A,3.3,20.9,1
Team A,0.8,0.5,0
Team A,0.5,16,1
Team A,-3.4,27.2,0
Team A,-10.5,23,0
Team A,-0.2,3.6,1
Team A,1.4,1.4,1
Team A,-0.6,0.5,1
Team A,0.2,3.1,1
Team A,6.5,13.8,0
Team A,10.6,22.8,0
Team A,1.3,8.2,0
Team A,-10.7,3.9,1
Team A,-10.5,22.6,0
Team A,7.4,24.4,1
Team A,3.6,1.4,1
Team A,0.5,1,1
Team A,-12.2,17,1
Team A,12.5,22.4,0
Team A,4.2,18.5,0
Team A,0.5,0.1,1
Team A,7.4,19.7,1
Team A,9.5,12.8,0
Team A,6.7,24.1,0
Team A,0,-0.5,0
Team A,0.7,3.1,1
Team A,1.5,2.1,1
Team A,-2.3,1.7,1
Team A,0.5,18,0
Team A,-0.1,2.5,0
Team A,-18.3,2,0
Team A,8.3,20.4,1
Team A,-13.1,3,0
Team A,-6.5,17.3,0
Team A,-0.3,4.1,1
Team A,0.2,1.8,1
Team A,-1.7,17.3,1
Team A,-1.1,1.2,1
Team A,-0.3,6.3,0
Team A,0.2,0.5,1
Team A,2.9,1.4,1
Team A,-2.4,1.4,1
Team A,-0.6,0.7,1
Team A,-0.8,2.1,0
Team A,-0.7,1.2,1
Team A,1.2,1.2,0
Team A,12.1,13.9,0
Team A,-14.7,8.9,1
Team A,-2.4,5.4,0
Team A,-0.3,2.6,0
Team A,13.3,1.7,1
Team A,2.9,3.3,0
Team A,-20.6,13.9,1
Team A,13,17.5,0
Team A,1.5,1.7,1
Team A,-17.4,5.4,0
Team A,0.6,1.5,1
Team A,-22.9,4.5,1
Team A,2.2,0.8,1
Team A,-3.6,18.6,0
Team A,8.2,18.8,0
Team A,-0.9,0.8,1
Team A,2.9,24.9,0
Team A,-18.2,22.1,0
Team A,7.6,25.1,1
Team A,-2,1.4,0
Team A,0.2,1.5,1
Team A,-9.6,15.7,1
Team A,3.3,21.7,0
Team A,3.9,24.6,0
Team A,-11.3,18.5,0
Team A,-9.8,24.3,0
Team A,-6.9,24.9,0
Team A,0.4,0.3,1
Team A,22.6,9,1
Team A,1.4,25.1,0
Team A,-22.8,4.6,1
Team A,0.6,0.4,0
Team A,18.2,16.8,1
Team A,-14.3,20.9,0
Team A,23.4,4.5,0
Team A,16.3,20.4,0
Team A,23.1,2.3,0
Team A,23.2,2.4,0
Team A,-16.5,20,1
Team A,-0.6,0.9,1
Team A,-16.3,19.3,0
Team A,-1.3,1,1
Team A,-3,15.9,1
Team A,22.4,5.5,1
Team A,20.1,13.5,0
Team A,13.5,21.3,0
Team A,-22.9,0.6,1
Team A,12.2,2.6,0
Team A,9.8,12.6,0
Team A,22.7,3.8,0
Team A,7.1,3,0
Team A,-19.1,2.4,1
Team A,0,-0.5,1
Team A,0,-0.5,0
Team A,11.3,25.1,0
Team A,15.4,-0.2,1
Team A,-7.9,14.1,0
Team A,-9.1,11.4,1
Team A,-9.8,25,0
Team A,-4.8,25.4,0
Team A,-12.8,16.8,0
Team A,-9.3,20.8,0
Team A,1.2,0.2,1
Team A,-13.3,20.8,0
Team A,-17.3,19.1,1
Team A,10,17.1,0
Team A,-3,1.9,1
Team A,0.2,1.5,0
Team A,5.2,26.4,1
Team A,19.9,1.6,0
Team A,7.7,18.7,0
Team A,0.6,19.7,0
Team A,-12.5,0.3,0
Team A,-10.6,6.8,1
Team A,14.4,8.9,0
Team A,-3.8,4.6,0
Team A,6.5,17.9,0
Team A,-8.9,8.3,0
Team A,3.2,15.2,1
Team A,6.2,25.8,0
Team A,13.5,4.1,0
Team A,15.3,20.2,1
Team A,7.1,24.7,0
Team A,0.7,0.3,1
Team A,3.3,6.7,1
Team A,0.8,0.6,0
Team A,0,-0.5,1
Team A,-1,-0.4,1
Team A,0,-0.5,0
Team A,-0.1,1.5,0
Team A,2.2,4.7,0
Team A,0.9,0.3,0
Team A,0.1,0.3,1
Team A,-0.7,18,0
Team A,2.2,1.5,0
Team A,8.9,8.6,1
Team A,-13.9,21.5,0
Team A,-7.4,15.2,0
Team A,10.3,14.5,0
Team A,2.7,6.3,0
Team A,6.9,15.2,1
Team A,13.2,23.9,0
Team A,-13.1,22.6,0
Team A,-2.4,1.4,1
Team A,19.7,16.5,0
Team A,-23.4,-1.1,0
Team A,23.8,0.8,1
Team A,14.1,21.8,0
Team A,-22.1,1.2,1
